Played	Play?	Title	System
Yes	2	Eufloria	PC - Steam
Yes	2	Eufloria HD	PC - Steam
Yes	2	Evoland	PC - Steam
No	2	Fable 2	X360
No	1	Fallout 3 - Game of the Year Edition	PC - Steam
No	1	Fallout: New Vegas	PC - Steam
No	0	Final DOOM	PC - Steam
No	1	Final Fantasy 13	PS3
No	1	Final Fantasy 13-2	PS3
No	1	Final Fantasy 15	PS4
Yes	1	Final Fantasy 5	PS
Yes	1	Final Fantasy 7	PS
Yes	1	Final Fantasy 7: Crisis Core	PSP
Yes	1	Final Fantasy 8	PS
Yes	1	Final Fantasy Origins	PS
Yes	1	Final Fantasy Tatics: War of the Lions	PS
Yes	1	Final Fantasy Tatics: War of the Lions	PSP
Yes	1	FINAL FANTASY VII	PC - Steam
Yes	1	Forza 4	X360
Yes	1	Forza 6	XOne
No	2	Frontlines: Fuel of War	PC - Steam
No	0	FUEL	PC - Steam
No	0	Full Spectrum Warrior	PC - Steam
No	0	Full Spectrum Warrior: Ten Hammers	PC - Steam
Yes	1	Gears of War	X360
Yes	1	Gears of War 2 GOY	X360
Yes	1	Gears of War 3	X360
Yes	1	Gears of War 4	XOne
No	0	Gish	PC - Steam
Yes	1	God of War 3	PS3
Yes	1	God of War Collection	PS3
Yes	0	Gran Turismo 5	PS3
Yes	1	Grand Theft Auto V	PC - Steam
No	0	Gratuitous Space Battles	PC - Steam
No	0	GRID	PC - Steam
Yes	0	Half Minute Hero: Super Mega Neo Climax Ultimate Boy	PC - Steam
Yes	1	Half-Life	PC - Steam
No	1	Half-Life 2	PC - Steam
No		Half-Life 2: Deathmatch	PC - Steam
No	1	Half-Life 2: Episode One	PC - Steam
No	1	Half-Life 2: Episode Two	PC - Steam
No	1	Half-Life 2: Lost Coast	PC - Steam
No	0	Half-Life Deathmatch: Source	PC - Steam
No	1	Half-Life: Blue Shift	PC - Steam
No	1	Half-Life: Opposing Force	PC - Steam
No	0	Half-Life: Source	PC - Steam
Yes	1	Halo	X360
Yes	1	Halo 2	X360
Yes	1	Halo 3	X360
Yes	1	Halo 3 ODST	X360
No	1	Halo 5	XOne
Yes	1	Halo Aniversay	X360
Yes	1	Halo Reach	X360
No	0	Halo Wars	X360
No	0	Hammerfight	PC - Steam
No	0	Heretic: Shadow of the Serpent Riders	PC - Steam
No	0	HeXen II	PC - Steam
No	0	HeXen: Beyond Heretic	PC - Steam
No	0	HeXen: Deathkings of the Dark Citadel	PC - Steam
Yes	0	HOARD	PC - Steam
Yes	1	Infamous	PS3
No	1	Infamous 2	PS3
No	0	Jade Empire - Special Edition	PC - Origin
Yes	0	Jamestown	PC - Steam
No	1	Jeanne DArc	PSP
No	1	Jotun: Valhalla Edition	PC - Steam
Yes	1	Journey	PS3
No	0	Juiced 2: Hot Import Nights	PC - Steam
No	0	Killing Floor	PC - Steam
No	0	Killing Floor Mod: Defence Alliance 2	PC - Steam
Yes	1	Left 4 Dead	PC - Steam
Yes	1	Left 4 Dead 2	PC - Steam
Yes	1	Littel Big Planet 2	PS3
Yes	1	Little Big Planet	PS3
Yes	1	Lost Odyssey	X360
No	0	Lugaru HD	PC - Steam
No	0	Machinarium	PC - Steam
Yes	1	Magicka	PC - Steam
No	1	Magicka 2	PC - Steam
Yes	1	Mass Effect	PC - Steam
Yes	1	Mass Effect	PC - Origin
Yes	1	Mass Effect 2	PC - Steam
Yes	1	Mass Effect 2	PC - Origin
No	1	Mass Effect 3	PC - Origin
No	0	Master Levels for DOOM II	PC - Steam
No	1	Metro 2033	PC - Steam
No	1	Metro 2033 Redux	PC - Steam
No	1	Metro: Last Light	PC - Steam
No	1	Metro: Last Light Redux	PC - Steam
No	1	Middle-earth: Shadow of Mordor	PC - Steam
No	1	Minecraft: Story Mode - A Telltale Games Series	PC - Steam
Yes	1	Mirror's Edge	PC - Steam
No	0	Multiwinia	PC - Steam
No	0	Need For Speed  Most Wanted	PC - Origin
Yes	0	Need for Speed: Hot Pursuit	PC - Steam
No	0	NightSky	PC - Steam
No	1	Octopath Traveler	Switch
Yes	0	Orcs Must Die!	PC - Steam
No	2	Orcs Must Die! 2	PC - Steam
No	1	Ori and the Blind Forest	PC - Steam
Yes	0	Osmos	PC - Steam
No	0	Overlord	PC - Steam
No	0	Overlord II	PC - Steam
Yes	0	Overlord: Raising Hell	PC - Steam
Yes	2	Overwatch	PC - Battle
No	0	Peggle	PC - Origin
No	0	Penumbra: Overture	PC - Steam
No	2	Pillars of Eternity	PC - Steam
Yes	1	Plants VS Zombies	PC - Origin
Yes	2	Plants vs. Zombies: Game of the Year	PC - Steam
Yes	1	PLAYERUNKNOWN'S BATTLEGROUNDS	PC - Steam
No	1	Pokemon - Lets Go Pickachu	Switch
Yes	1	Portal	PC - Steam
Yes	1	Portal 2	PC - Steam
No	0	Pyre	PC - Steam
No	0	Quake	PC - Steam
No	0	Quake II	PC - Steam
No	0	Quake II: Ground Zero	PC - Steam
No	0	Quake II: The Reckoning	PC - Steam
No	0	Quake III Arena	PC - Steam
No	0	Quake III: Team Arena	PC - Steam
No	0	Quake Mission Pack 1: Scourge of Armagon	PC - Steam
No	0	Quake Mission Pack 2: Dissolution of Eternity	PC - Steam
No	2	Race The Sun	PC - Steam
No	1	RAGE	PC - Steam
No	1	Ratchet & Clank: Size Matters	PSP
Yes	0	Realm of the Mad God	PC - Steam
Yes	1	Red Alert 2	PC - Origin
No	2	Red Faction	PC - Steam
No	2	Red Faction II	PC - Steam
No	2	Red Faction: Guerrilla Steam Edition	PC - Steam
No	1	Remember Me	PC - Steam
Yes	2	Resistance 2	PS3
Yes	2	Resistance: Fall of Man	PS3
No	2	Return to Castle Wolfenstein	PC - Steam
Yes	2	Revenge of the Titans	PC - Steam
No	0	Ricochet	PC - Steam
No	0	Rise of the Triad	PC - Steam
Yes	1	Rocket League	PC - Steam
No	0	Rogue Warrior	PC - Steam
Yes	0	RUSH	PC - Steam
No		S.T.A.L.K.E.R.: Shadow of Chernobyl	PC - Steam
No	0	Saints Row 2	PC - Steam
Yes	1	Saints Row IV	PC - Steam
No	1	Saints Row: Gat out of Hell	PC - Steam
Yes	1	Saints Row: The Third	PC - Steam
No	0	Samorost 2	PC - Steam
Yes	2	Sanctum	PC - Steam
Yes	2	Scott Pilgram vs The World	PS3
No	2	Shadowgrounds	PC - Steam
No	2	Shadowgrounds: Survivor	PC - Steam
No	2	Shank	PC - Steam
Yes	2	Shatter	PC - Steam
No	0	ShellShock Live	PC - Steam
Yes	0	Sid Meier's Civilization IV	PC - Steam
No	0	Sid Meier's Civilization IV: Beyond the Sword	PC - Steam
Yes	0	Sid Meier's Civilization IV: Colonization	PC - Steam
No	0	Sid Meier's Civilization IV: Warlords	PC - Steam
Yes	0	Sid Meier's Civilization V	PC - Steam
Yes	0	Sim City - The SHIT Edition	PC - Origin
Yes	1	Sim City 2000 - Special Edition	PC - Origin
Yes	1	SimCity 4 Deluxe	PC - Steam
Yes	1	Sins of a Solar Empire: Rebellion	PC - Steam
Yes	1	Sins of a Solar Empire: Trinity	PC - Steam
No	0	Snuggle Truck	PC - Steam
Yes	0	Soda Dungeon	PC - Steam
No	0	Spore	PC - Steam
No	0	Spore: Creepy & Cute Parts Pack	PC - Steam
No	0	Spore: Galactic Adventures	PC - Steam
Yes	1	Star Craft	PC - Battle
Yes	1	Star Craft II	PC - Battle
No	2	STAR WARS Knights of the Old Republic II: The Sith Lords	PC - Steam
No	2	STAR WARS: Knights of the Old Republic	PC - Steam
No	0	Steam World - Dig	PC - Origin
No	0	Steel Storm: Burning Retribution	PC - Steam
No	0	Super Laser Racer	PC - Steam
Yes	1	Super Meat Boy	PC - Steam
No	0	Swords and Soldiers HD	PC - Steam
No	0	Syberia II	PC - Origin
Yes	0	Team Fortress 2	PC - Steam
No	0	Team Fortress Classic	PC - Steam
Yes	2	Terraria	PC - Steam
No	0	The Ball	PC - Steam
Yes	2	The Binding of Isaac	PC - Steam
Yes	0	The Chronicles of Riddick: Assault on Dark Athena	PC - Steam
No	1	The Elder Scrolls III: Morrowind	PC - Steam
No	1	The Elder Scrolls IV: Oblivion	PC - Steam
Yes	2	The Elder Scrolls V: Skyrim	PC - Steam
Yes	2	The Elder Scrolls V: Skyrim Special Edition	PC - Steam
No	1	The Jackbox Party Pack	PC - Steam
No	1	The Jackbox Party Pack 3	PC - Steam
No	1	The Last Remnant	PC - Steam
No	1	The Legend of Zelda - Breath of the Wild	Switch
No	0	The Polynomial	PC - Steam
Yes	1	The Stanley Parable	PC - Steam
No	0	The Ultimate DOOM	PC - Steam
No	2	The Witcher 2: Assassins of Kings Enhanced Edition	PC - Steam
No	1	The Witcher 3: Wild Hunt	PC - Steam
No	2	The Witcher: Enhanced Edition	PC - Steam
Yes	0	The Wonderful End of the World	PC - Steam
No	1	Thief	PC - Steam
Yes	2	Titan Quest	PC - Steam
Yes	2	Titan Quest Anniversary Edition	PC - Steam
Yes	2	Titan Quest: Immortal Throne	PC - Steam
No	0	ToCA Race Driver 3	PC - Steam
Yes	0	Toki Tori	PC - Steam
Yes	2	Torchlight	PC - Steam
Yes	2	Torchlight II	PC - Steam
No	1	Transistor	PC - Steam
Yes	2	Trine	PC - Steam
No	0	Uplink	PC - Steam
No	1	Valkaria Chronicles	PS3
Yes	0	VVVVVV	PC - Steam
Yes	1	War Craft	PC - Battle
Yes	1	War Craft 2	PC - Battle
Yes	1	War Craft 3	PC - Battle
Yes	2	Warframe	PC - Steam
No	2	Warhammer 40000: Dawn of War - Dark Crusade	PC - Steam
No	2	Warhammer 40000: Dawn of War - Game of the Year Edition	PC - Steam
No	2	Warhammer 40000: Dawn of War - Soulstorm	PC - Steam
No	2	Warhammer 40000: Dawn of War - Winter Assault	PC - Steam
No	2	Warhammer 40000: Dawn of War II	PC - Steam
No	2	Warhammer 40000: Dawn of War II - Chaos Rising	PC - Steam
No	1	Watch Dogs	PC - Uplay
No	0	Wolfenstein 3D	PC - Steam
No	0	Wolfenstein 3D: Spear of Destiny	PC - Steam
Yes	0	World of Goo	PC - Steam
Yes	0	World of War Craft	PC - Battle
